Maakoodi;Jan-11;Feb-11;Mar-11;Apr-11;May-11;Jun-11;Jul-11;Aug-11;Sep-11;Oct-11;Nov-11;Dec-11;Jan-12;Feb-12;Mar-12;Apr-12;May-12;Jun-12;Jul-12;Aug-12;Sep-12;Oct-12;Nov-12;Dec-12;Jan-13;Feb-13;Mar-13;Apr-13;May-13;Jun-13;Jul-13;Aug-13;Sep-13;Oct-13;Nov-13;Dec-13;Jan-14;Feb-14;Mar-14;Apr-14;May-14;Jun-14;Jul-14;Aug-14;Sep-14;Oct-14;Nov-14;Dec-14;Jan-15;Feb-15;Mar-15;Apr-15;May-15;Jun-15;Jul-15;Aug-15;Sep-15;Oct-15;Nov-15
SOM;1;7;8;1;6;1;4;8;4;2;1;2;2;1;1;1;;3;1;3;6;7;3;2;6;2;5;4;3;2;4;3;1;2;1;3;4;1;3;1;1;5;5;9;6;5;6;2;5;9;11;9;23;20;38;40;69;20;
SSD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
SYR;;2;;;;;;1;1;;;;;;1;;;;;1;;;;;;;;;;;1;;;;1;;;1;1;1;;;1;;;2;;;1;;;1;1;1;1;2;8;12;
TGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUN;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUR;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
WAL;;;;;;;1;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UKR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;5;1;;;;;1;;;;1;;;;1;;
WAN;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;
RUS;;;;;5;;;;;;;;;;1;;1;1;;;;;;;;;1;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
VEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
VNM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLR;;;;;;;;;;;1;;;;;;;3;;;;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;2;;;;1;;3;;
XX1;;;;;;;;2;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;3;4;3;
XX2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;1;2;;
